ID	nextID	name	speaker	Textbox_type	Text_EN	Text_KR	Text_JP	Stage
100001	100002	에스트	0	2	...	…	...	Tutorial_cg1
100002	0	에스트	0	2	A strange ceiling...	낯선 천장…	見慣れない天井…	Tutorial_cg1
100003	0	시드	0	2	Hi there.	안녕.	こんにちは。	Tutorial_cg1
100004	100005	에스트	0	2	Wait, it's a face.	"아니, 얼굴이네."	いや、顔か。	Tutorial_cg1
100005	0	에스트	0	2	...Wow.	…우와.	…うわぁ…。	Tutorial_cg1
100006	100007	시드	10201	0	...	…	...	Tutorial_cg1
100007	100008	에스트	10101	0	He...llo?	안… 녕?	…こんにちは？	Tutorial_cg1
100008	100009	시드	10201	0	You're not that surprised?	별로 놀라지 않네?	あんまり驚かないんだね？	Tutorial_cg1
100009	100010	에스트	10101	0	I’ve always assumed aliens were out there.	뭔가 외계인이 있지 않을까라고 생각을 하며 살긴 했었거든.	なんか、宇宙人とかいるんじゃないかなって思って生きてきたんだよね。	Tutorial_cg1
100010	100011	시드	10201	0	I'm not an alien.	난 외계인이 아니야.	僕は宇宙人じゃない。	Tutorial_cg1
100011	100012	에스트	10101	0	Uh... okay. You're cute, so I'll let it slide.	어…음…그렇구나. 귀여우니까 이해해 볼게! 	あ…うーん…そうなんだ。可愛いから、納得してあげる！	Tutorial_cg1
100012	100013	에스트	10101	0	What's your name?	넌 이름이 뭐야?	君の名前は？	Tutorial_cg1
100013	100014	시드	10201	0	I'm Seed.	난 시드야.	僕はシード。	Tutorial_cg1
100014	100015	시드	10201	0	I'm the guardian of the garden.	정원의 관리자를 맡고 있어.	庭園の管理を任されているんだ。	Tutorial_cg1
100015	0	에스트	10101	0	Garden? You mean this giant tree?	정원? 이 큰 나무 말이야?	庭園？ この大きな木のこと？	Tutorial_cg1
100016	100017	시드	10201	0	Exactly. And now, you're going to help us manage it.	맞아. 이제 넌 우리의 정원 관리를 도와야 해.	そうだよ。これからは君が僕たちの庭園管理を手伝ってくれる番だね。	Tutorial_cg1
100017	100018	에스트	10101	0	Huh? Me? Why?	엥? 내가? 왜?	え？ 僕が？ どうして？	Tutorial_cg1
100018	100019	시드	10201	0	Because the Tree of Happiness brought you here.	행복나무가 널 데려왔으니까.	「幸せの木」が君を連れてきたからだよ。	Tutorial_cg1
100019	100020	에스트	10101	0	So this huge tree is the Tree of Happiness?	이 큰 나무 이름이 행복나무야?	この大きな木の名前が「幸せの木」なの？	Tutorial_cg1
100020	100021	시드	10201	0	No.	아니.	ううん。	Tutorial_cg1
100021	0	시드	10201	0	The one right under there is the Tree of Happiness.	이 아래의 나무가 행복나무야.	この下の木が「幸せの木」だよ。	Tutorial_cg1
100022	0	에스트	10101	0	So... the huge tree reflected on the ground was the real one?	바닥에 비친 이 큰 나무가…진짜였다고?	床に映ったこの大きな木が…本物だったなんて？	Tutorial_cg1
100023	0	시드	10201	0	That’s right. That’s how this place is.	맞아. 여긴 이런 곳이야.	そうだよ。ここはそういう場所なんだ。	Tutorial_cg1
100024	100025	에스트	10101	0	Whoa!	으악!	うわっ！	Tutorial_cg1
100025	100026	에스트	10101	0	My body... it's changing!	내 몸이 변했어!	体が変わっちゃった！	Tutorial_cg1
100026	0	시드	10201	0	You’ve entered the space of the Happiness Tree.	행복나무의 공간으로 온 거야.	「幸せの木」の空間に来たんだよ。	Tutorial_cg1
100027	100028	시드	10201	0	You’ll get used to it soon.	너도 금방 익숙해질 거야	君もすぐに慣れるはずさ。	Tutorial_cg1
100028	100029	시드	10201	0	How does your body feel?	몸은 좀 어때?	体の調子はどうだい？	Tutorial_cg1
100029	100030	에스트	10101	0	I’m a bit lost here.	좀 당황스럽네.	ちょっと戸惑ってるよ。	Tutorial_cg1
100030	100031	에스트	10101	0	Um... actually, I don’t remember anything that happened at all!	음… 사실 무슨 일이 있었는지 전혀 기억이 안 나!	うーん…実は何があったのか、全然思い出せなくて！	Tutorial_cg1
100031	100032	에스트	10101	0	Is this that "amnesia" people talk about?	이게 말로만 듣던 기억상실증이란 걸까?	これが噂に聞く記憶喪失ってやつかな？	Tutorial_cg1
100032	0	에스트	10101	0	Other than that, I feel a bit drowsy since I just woke up, but I'm fine!	그 외에는 방금 일어나서 그런지 좀 나른한데 괜찮아!	それ以外は、さっき起きたばかりだからか、ちょっと体がだるいけど大丈夫だよ！	Tutorial_cg1
100033	100034	시드	10201	0	...	…	...	Tutorial_cg1
100034	100035	시드	10201	0	Well, that's a relief.	그렇다면 다행이야.	…それならよかった。	Tutorial_cg1
100035	0	시드	10201	0	Then, let’s get to work.	그럼, 이제 일을 시작해 보자.	じゃあ、そろそろ仕事を始めようか。	Tutorial_cg1
100036	0	에스트	10101	0	Wait a minute! I still don't get it. 	잠깐! 아직 이해가 안 된 게 있어!	ちょっと待って！ まだ納得できてないことがあるよ！	Tutorial_cg1
100037	100038	에스트	10101	0	Why does the Tree of Happiness bringing me here mean I have to do this?	행복나무가 날 데려온 게 왜 내가 일을 해야 할 이유야?	「幸せの木」が僕を連れてきたことが、どうして仕事をすべき理由になるの？	Tutorial_cg1
100038	100039	시드	10201	0	Because you wished for happiness, and the Tree of Happiness brought you here.	…네가 행복을 바라서 행복 나무가 널 데려온 거야.	…君が幸せを願ったから、「幸せの木」が君を連れてきたんだ。	Tutorial_cg1
100039	100040	에스트	10101	0	...Could this be a dream?	…혹시 내가 꿈꾸는 거야?	……これは夢なの？	Tutorial_cg1
100040	100041	시드	10201	0	Not at all. You’ve just come here to help us for a while.	그럴 리가. 잠시 우리를 도와주러 네가 오게 된 거지.	そんなわけないだろ。しばらく僕たちを手伝うために、君がここに来たんだよ。	Tutorial_cg1
100041	0	시드	10201	0	If you really need a reason... 	정 이유가 필요하다면…	どうしても理由が必要なら…	Tutorial_cg1
100042	100043	시드	10201	0	help us with our work, and we’ll help you find a way out of here.	우리의 일을 도와주다 보면, 이곳에서 나가게 도와줄게.	僕たちの仕事を手伝ってくれたら、ここから出られるようにしてあげるよ。	Tutorial_cg1
100043	100044	시드	10201	0	Is that reason enough?	이유가 됐을까?	これじゃ理由になるかな？	Tutorial_cg1
100044	100045	에스트	10101	0	...Uh... yeah. Okay.	…어…그래. 알았어.	…あ…うん、わかったよ。	Tutorial_cg1
100045	0	시드	10201	0	Good. Follow me.	좋아. 따라와..	よし。ついてきて。	Tutorial_cg1
100046	100047	시드	10201	0	You're pretty nimble.	제법 몸놀림이 좋네.	なかなか身のこなしがいいね。	Tutorial_cg2
100047	100048	에스트	10101	0	Of course! I’ve done some sports, you know!	당연하지! 이래 보여도 운동을 좀 했었거든!	当たり前だよ！ こう見えても、少しは運動してたんだから！	Tutorial_cg2
100048	100049	에스트	10101	0	But I feel like I can jump really high now.	근데 뭔가 엄청 높이 뛸 수 있게 된 것 같아.	でも、なんかすごく高く跳べるようになったみたい。	Tutorial_cg2
100049	100050	시드	10201	0	Everything in this world is like that. It's a good thing.	이 세계의 존재는 다 그래. 좋은 거야.	この世界の存在はみんなそうだよ。いいことだね。	Tutorial_cg2
100050	100051	시드	10201	0	Since you probably don't know anything, I'll keep it simple.	아무것도 모를 테니까, 최대한 간단하게 설명할게.	何も知らないだろうから、できるだけ簡単に説明するね。	Tutorial_cg2
100051	100052	에스트	10101	0	Okay!	응!	うん！	Tutorial_cg2
100052	0	시드	10201	0	Mini Bean?	시드콩?	シードマメ？	Tutorial_cg2
100053	100054	시드콩	10301	0	Beanie!	콩!	マメ！	Tutorial_cg2
100054	100055	에스트	10101	0	!	!	!	Tutorial_cg2
100055	100056	에스트	10101	0	There’s... two of you? But you’re so small.	시드가…둘? 그런데 크기가 좀 작네?	シードが…二人？ でも、サイズがちょっと小さいね？	Tutorial_cg2
100056	100057	시드	10201	0	More than two. But we are all one.	둘보다 많아. 하지만 우리는 모두 하나야.	二人より多いよ。だけど、僕たちはみんな一つなんだ。	Tutorial_cg2
100057	100058	에스트	10101	0	Is it like a shadow clone jutsu?	분신술 같은 건가?	分身術みたいなもの？	Tutorial_cg2
100058	100059	시드	10201	0	…Something like that.	…비슷해.	…似たようなものさ。	Tutorial_cg2
100059	0	시드	10201	0	Anyway, I’ll explain briefly.	아무튼 간단히 설명할게.	とにかく、簡単に説明するね。	Tutorial_cg2
100060	0	시드	10201	0	Push the fruits from the tree above so they fall down.	위에 있는 나무의 열매는 밀어서 떨어뜨리고,	上の木の実は押して落として、	Tutorial_cg2
100061	0	시드	0	2	And for the fruits in the reflection below, gather them to the center.	아래에 있는 나무의 열매는 가운데로 모아주면 돼.	下の木の実は真ん中に集めてくれればいいんだ。	Tutorial_cg2
100062	100063	에스트	10101	0	That’s it? Sounds easy!	그게 전부야? 간단하네!	それだけ？ 簡単だね！	Tutorial_cg2
100063	100064	시드	10201	0	Right. You’ll find Mini Beans everywhere, so you can get their help.	맞아. 곳곳에 시드콩이 있을 테니까, 도움받을 수 있을 꺼야.	そうだよ。あちこちにシードマメがいるはずだから、助けてもらえるよ。	Tutorial_cg2
100064	100065	시드	10201	0	Shall we start?	한번 시작해 볼까?	一度始めてみようか？	Tutorial_cg2
100065	0	에스트	10101	0	Yeah!	응!	うん！	Tutorial_cg2
100066	100067	시드	10201	0	You did it. Good job.	무사히 성공했네. 고생했어.	無事に成功したね。お疲れ様。	Tutorial_cg3
100067	100068	에스트	10101	0	Of course, (huff)... I did, (huff).	그럼, 후, 당연하지, 후.	もち、ろん、ふぅ、当たり前だよ、ふぅ。	Tutorial_cg3
100068	100069	시드	10201	0	Take a breath before you speak.	일단 숨 좀 돌리고 말해줘.	まずは息を整えてから話して。	Tutorial_cg3
100069	0	에스트	10101	0	Oops, caught me.	앗, 들켰다.	あ、バレちゃった。 	Tutorial_cg3
100070	100071	에스트	10101	0	Phew...	후…	ふぅ…	Tutorial_cg3
100071	100072	에스트	10101	0	Okay! I’m good now!	좋아! 이제 괜찮아졌어!	よし！ もう大丈夫だよ！	Tutorial_cg3
100072	100073	시드	10201	0	That’s a relief.	다행이네.	よかった。	Tutorial_cg3
100073	100074	에스트	10101	0	Since the tree is so huge, the fruits feel bigger than me.	나무가 커서 그런지 열매가 나보다 큰 것 같아.	木が大きいからかな、実が僕より大きい気がするよ。	Tutorial_cg3
100074	100075	에스트	10101	0	But why do we drop the fruits from the tree above and gather the ones from the tree below?	근데 왜 위 나무의 열매는 떨어뜨리고 아래 나무의 열매는 안쪽에 모으는 거야?	ところで、どうして上の木の実を落として、下の木の実は内側に集めるの？	Tutorial_cg3
100075	0	시드	10201	0	...	…	...	Tutorial_cg3
100076	0	시드	10201	0	…The tree above is called the Tree of Sorrow. It bears fruits filled with sadness.	 위 나무의 이름은 슬픔 나무야. 슬픔 나무에는 슬픔이 담긴 열매가 열려.	…上の木の名前は「悲しみの木」。悲しみの木には、悲しみが詰まった実がなるんだ。	Tutorial_cg3
